class;id;name;notes;MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id]
;bqbiol:isDescribedBy;DOI;10.21430%2FM3KXJHSP4T;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;bqbiol:isDescribedBy;DOI;10.21430%2FM3KXJHSP4T;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;bqbiol:isDescribedBy;DOI;10.21430%2FM3KXJHSP4T;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;bqbiol:isDescribedBy;DOI;10.21430%2FM3KXJHSP4T;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;bqbiol:isDescribedBy;DOI;10.21430%2FM3KXJHSP4T;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PROTEIN;s4448;CSF1;"<br/><b>Reference</b><br/><a href=""http://www.genome.jp/kegg-bin/show_pathway?hsa04010+1435"">hsa04010+1435</a><br/>";bqbiol:isDescribedBy;PubMed;17062647;bqbiol:isDescribedBy;PubMed;23454681;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PROTEIN;s4449;TGFB1;;bqbiol:isDescribedBy;PubMed;30320350;bqbiol:isDescribedBy;DOI;10.21430%2FM3KXJHSP4T;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PROTEIN;s4450;IL10;;bqbiol:isDescribedBy;PubMed;20001767;bqbiol:isDescribedBy;PubMed;27383913;bqbiol:isDescribedBy;PubMed;27337694;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PROTEIN;s4451;IL23;;bqbiol:isDescribedBy;PubMed;25799392;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PROTEIN;s4452;IL4;;bqbiol:isDescribedBy;PubMed;7492352;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PROTEIN;s4453;VEGFa;;bqbiol:isDescribedBy;PubMed;25894998;bqbiol:isDescribedBy;PubMed;29324807;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PROTEIN;s4454;Vegfb;;bqbiol:isDescribedBy;PubMed;25894998;bqbiol:isDescribedBy;PubMed;29324807;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PROTEIN;s4456;IL8;"<br/><b>Reference</b><br/><a href=""http://www.genome.jp/kegg-bin/show_pathway?hsa05323+3576"">hsa05323+3576</a><br/>";bqbiol:isDescribedBy;PubMed;31933536;bqbiol:isDescribedBy;PubMed;10491366;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PROTEIN;s4457;SEMA4A;;bqbiol:isDescribedBy;DOI;10.21430%2FM3KXJHSP4T;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PROTEIN;s4458;BCL2L1;;bqbiol:isDescribedBy;PubMed;28118944;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PROTEIN;s4459;BCL2;;bqbiol:isDescribedBy;PubMed;10799883;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PROTEIN;s4460;BAD;;bqbiol:isDescribedBy;PubMed;33270017;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PROTEIN;s4461;BAX;;bqbiol:isEncodedBy;PubMed;12634940;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COMPLEX;s4462;CTNNB1/TCF/LEF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COMPLEX;s4465;smad4/smad1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COMPLEX;s4468;SMAD2/SMAD4;;bqbiol:isDescribedBy;PubMed;25319955;bqbiol:isDescribedBy;PubMed;3240729;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COMPLEX;s4471;STAT3/STAT3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COMPLEX;s4473;STAT6/STAT6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PROTEIN;s4475;p38 MAP KINASE;;bqbiol:isDescribedBy;PubMed;20132813;bqbiol:isDescribedBy;PubMed;22488549;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PROTEIN;s4476;MK2;;bqbiol:isDescribedBy;PubMed;17480064;bqbiol:isDescribedBy;PubMed;19561096;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PROTEIN;s4477;JNK1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PROTEIN;s4478;AKT1;;bqbiol:isDescribedBy;PubMed;17009247;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PROTEIN;s4479;IRF7;;bqbiol:isDescribedBy;PubMed;22614743;bqbiol:isDescribedBy;PubMed;24379524;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PROTEIN;s4480;ERK1;;bqbiol:isDescribedBy;PubMed;17907188;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PROTEIN;s4481;NFAT5;Symbol: NFAT5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Name: nuclear factor of activated T cells 5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Synonyms: KIAA0827; NF-AT5; NFATL1; NFATZ; OREBP; TONEBP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HGNC_ID: 7774;7774;7774;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EntrezGene_ID: 10725;10725;10725;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RefSeq_ID: NM_138714;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pubmed_ID: 19710928;17134501;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
The product of this gene is a member of the nuclear factors of activated T cells family of transcription factors. Proteins belonging to this family play a central role in inducible gene transcription during the immune response. This protein regulates gene expression induced by osmotic stress in mammalian cells. Unlike monomeric members of this protein family; this protein exists as a homodimer and forms stable dimers with DNA elements. Multiple transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq; Jul 2008];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;bqbiol:isDescribedBy;PubMed;19710928;bqbiol:isDescribedBy;UniProt Knowledgebase;O94916;bqbiol:isDescribedBy;UniProt Knowledgebase;O94916;bqbiol:isDescribedBy;HGNC;7774;bqbiol:isDescribedBy;HGNC Symbol;NFAT5;bqbiol:isDescribedBy;HGNC Symbol;NFAT5;bqbiol:isDescribedBy;HGNC;7774;bqbiol:isDescribedBy;HGNC;7774;bqbiol:isDescribedBy;STRING;O94916;bqbiol:isDescribedBy;HGNC Symbol;7774;bqbiol:isDescribedBy;PubMed;17134501;bqbiol:isDescribedBy;Ensembl;ENSG00000102908;bqbiol:isDescribedBy;Ensembl;ENSG00000102908;bqbiol:isDescribedBy;Protein Data Bank;1imh;bqbiol:isDescribedBy;NCBI Gene;10725;bqbiol:isDescribedBy;NCBI Gene;10725;bqbiol:isDescribedBy;NCBI Gene;10725;bqbiol:isDescribedBy;RefSeq;NM_138714;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Name: catenin beta 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Previous Symbols: CTNNB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Synonyms: armadillo; beta-catenin;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HGNC_ID: 2514;2514;2514;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EntrezGene_ID: 1499;1499;1499;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RefSeq_ID: NM_001098210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pubmed_ID: 20840015;23602936;15705634;19683077;26088648;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
The protein encoded by this gene is part of a complex of proteins that constitute adherens junctions (AJs). AJs are necessary for the creation and maintenance of epithelial cell layers by regulating cell growth and adhesion between cells. The encoded protein also anchors the actin cytoskeleton and may be responsible for transmitting the contact inhibition signal that causes cells to stop dividing once the epithelial sheet is complete. Finally; this protein binds to the product of the APC gene; which is mutated in adenomatous polyposis of the colon. Mutations in this gene are a cause of colorectal cancer (CRC); pilomatrixoma (PTR); medulloblastoma (MDB); and ovarian cancer. Alternative splicing results in multiple transcript variants. [provided by RefSeq; Aug 2016];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
